sample_order,score,sample_time,evaluate_time,is_duplicate,dedup_level,dedup_time_ms
None,-500.0,None,1.766690731048584,False,None,2.46
2,-500.0,32.166387498378754,11.31020712852478,False,None,10.84
3,-461.25,32.166387498378754,10.123683214187622,False,None,7.3
4,-500.0,32.166387498378754,5.9696900844573975,False,None,2.72
5,-475.8,32.166387498378754,6.070736885070801,False,None,2.89
6,-489.25,28.177519738674164,6.088902950286865,False,None,6.86
7,,28.177519738674164,0.0,True,0,0.2
8,-299.4,28.177519738674164,5.8075151443481445,False,None,3.83
9,-350.8,28.177519738674164,5.391061782836914,False,None,2.64
10,-212.0,27.979459702968597,4.353442907333374,False,None,7.57
11,-500.0,27.979459702968597,5.338103771209717,False,None,3.62
12,,27.979459702968597,0.0,True,1,2.73
13,-500.0,27.979459702968597,15.526636600494385,False,None,4.8
14,-445.4,26.532545804977417,5.170270919799805,False,None,8.38
15,-212.75,26.532545804977417,1.7615020275115967,False,None,1.3
16,-500.0,26.532545804977417,8.29328179359436,False,None,2.59
17,-499.95,26.532545804977417,5.826184988021851,False,None,2.81
18,-213.95,26.00676828622818,5.203588962554932,False,None,9.2
19,-257.55,26.00676828622818,7.063320875167847,False,None,3.32
20,-213.5,26.00676828622818,15.161287069320679,False,None,5.75
21,,26.00676828622818,0.0,True,1,1.32
22,,29.927224278450012,0.0,True,1,4.34
23,-328.4,29.927224278450012,6.682922840118408,False,None,10.41
24,-298.7,29.927224278450012,10.87754225730896,False,None,4.71
25,-311.3,29.927224278450012,8.156567096710205,False,None,5.71
26,,23.998182237148285,0.0,True,1,21.37
27,,23.998182237148285,0.0,True,1,16.01
28,-342.75,23.998182237148285,14.947387218475342,False,None,12.41
29,-383.75,23.998182237148285,15.369723081588745,False,None,10.28
30,,41.936766028404236,0.0,True,1,3.18
31,-213.95,41.936766028404236,7.617775917053223,False,None,10.52
32,-213.1,41.936766028404236,5.630169153213501,False,None,3.85
33,-220.2,41.936766028404236,6.091461896896362,False,None,6.08
34,,38.47428798675537,0.0,True,1,4.39
35,-219.05,38.47428798675537,7.514340162277222,False,None,11.31
36,,38.47428798675537,0.0,True,1,1.27
37,,38.47428798675537,0.0,True,1,1.21
38,,38.7957489490509,0.0,True,1,4.58
39,,38.7957489490509,0.0,True,1,3.58
40,-213.25,38.7957489490509,29.947906970977783,False,None,17.7
41,-335.65,38.7957489490509,9.426781177520752,False,None,9.5
42,-341.0,38.774614214897156,16.358418941497803,False,None,26.69
43,-347.5,38.774614214897156,27.51376724243164,False,None,10.77
44,,38.774614214897156,0.0,True,1,1.32
45,-341.05,38.774614214897156,23.621681213378906,False,None,11.43
46,,30.41781175136566,0.0,True,1,4.76
47,,30.41781175136566,0.0,True,0,0.64
48,-500.0,30.41781175136566,4.269007205963135,False,None,9.62
49,-288.85,30.41781175136566,5.827332973480225,False,None,3.6
50,-210.8,33.76833772659302,16.064049243927002,False,None,18.05
51,,33.76833772659302,0.0,True,1,1.3
52,,33.76833772659302,0.0,True,1,1.22
53,,33.76833772659302,0.0,True,1,1.19
54,,34.0016303062439,0.0,True,1,7.96
55,-214.0,34.0016303062439,5.542871952056885,False,None,8.37
56,-500.0,34.0016303062439,4.488547086715698,False,None,2.58
57,-211.8,34.0016303062439,4.278144121170044,False,None,2.35
58,-316.3,44.59679818153381,19.906271934509277,False,None,15.15
59,,44.59679818153381,0.0,True,1,1.37
