sample_order,score,sample_time,evaluate_time,is_duplicate,dedup_level,dedup_time_ms
None,-500.0,None,1.8062810897827148,False,None,1.91
2,-212.75,25.825397491455078,1.8037960529327393,False,None,4.45
3,-489.3,25.825397491455078,5.757637977600098,False,None,2.8
4,-500.0,25.825397491455078,8.007336854934692,False,None,3.2
5,-213.95,25.825397491455078,4.852443218231201,False,None,2.92
6,-476.3,24.50788253545761,8.110590934753418,False,None,10.34
7,-500.0,24.50788253545761,3.2529659271240234,False,None,2.75
8,,24.50788253545761,0.0,True,1,2.84
9,,24.50788253545761,0.0,True,1,2.59
10,,26.745854020118713,0.0,True,1,8.74
11,,26.745854020118713,0.0,True,1,5.49
12,-500.0,26.745854020118713,15.335801839828491,False,None,8.19
13,-483.1,26.745854020118713,6.543283224105835,False,None,2.89
14,,25.760077476501465,0.0,True,1,5.17
15,-358.85,25.760077476501465,11.423041105270386,False,None,10.11
16,-476.2,25.760077476501465,11.425210237503052,False,None,3.56
17,-356.7,25.760077476501465,13.00792908668518,False,None,2.21
18,-500.0,25.266366481781006,4.1702680587768555,False,None,8.21
19,-491.55,25.266366481781006,4.1050450801849365,False,None,2.54
20,,25.266366481781006,0.0,True,1,3.15
21,-213.35,25.266366481781006,6.345164060592651,False,None,4.87
22,-484.35,22.425242006778717,6.015606164932251,False,None,9.51
23,-259.2,22.425242006778717,3.7567501068115234,False,None,2.35
24,-500.0,22.425242006778717,8.24163269996643,False,None,3.24
25,,22.425242006778717,0.0,True,1,2.52
26,-232.2,20.75236225128174,5.637037038803101,False,None,13.99
27,-230.75,20.75236225128174,7.970915794372559,False,None,7.14
28,-369.7,20.75236225128174,8.182038068771362,False,None,3.48
29,-229.0,20.75236225128174,6.73055624961853,False,None,3.34
30,,24.39974147081375,0.0,True,1,8.74
31,-247.75,24.39974147081375,3.7125141620635986,False,None,11.76
32,,24.39974147081375,0.0,True,1,2.31
33,,24.39974147081375,0.0,True,1,1.41
34,,31.934153735637665,0.0,True,1,4.7
