sample_order,score,sample_time,evaluate_time,is_duplicate,dedup_level,dedup_time_ms
None,-500.0,None,1.7545278072357178,False,None,2.48
2,-402.7,26.941678762435913,3.54978609085083,False,None,7.73
3,-212.75,26.941678762435913,1.7335479259490967,False,None,1.29
4,,26.941678762435913,0.0,True,1,4.23
5,-406.3,26.941678762435913,6.3687779903411865,False,None,5.63
6,-486.8,29.437915444374084,3.8092048168182373,False,None,7.0
7,-329.7,29.437915444374084,4.628159999847412,False,None,2.74
8,-307.7,29.437915444374084,4.201233148574829,False,None,2.39
9,,29.437915444374084,0.0,True,0,0.19
10,,27.452195465564728,0.0,True,1,4.46
11,-283.9,27.452195465564728,4.682423830032349,False,None,7.01
12,-500.0,27.452195465564728,6.16999077796936,False,None,2.3
13,,27.452195465564728,0.0,True,1,3.46
14,,24.865909695625305,0.0,True,1,15.67
15,-279.7,24.865909695625305,7.835982799530029,False,None,7.57
16,,24.865909695625305,0.0,True,1,2.57
17,,24.865909695625305,0.0,True,1,2.63
18,-430.4,30.35428875684738,10.184406995773315,False,None,7.37
19,-223.95,30.35428875684738,5.103420734405518,False,None,2.65
20,,30.35428875684738,0.0,True,1,2.92
21,-500.0,30.35428875684738,4.543639898300171,False,None,2.54
22,-500.0,30.537377953529358,3.723618745803833,False,None,7.5
23,,30.537377953529358,0.0,True,1,2.69
24,-500.0,30.537377953529358,6.092878818511963,False,None,2.69
25,-262.4,30.537377953529358,5.558123826980591,False,None,2.72
26,-500.0,29.869220972061157,6.179075241088867,False,None,11.57
27,,29.869220972061157,0.0,True,1,6.63
28,,29.869220972061157,0.0,True,1,2.96
29,-492.0,29.869220972061157,3.921272039413452,False,None,2.51
30,-500.0,35.248462557792664,6.296035051345825,False,None,7.03
31,,35.248462557792664,0.0,True,1,1.35
32,-500.0,35.248462557792664,4.707637071609497,False,None,2.62
33,,35.248462557792664,0.0,True,1,1.31
34,,42.57559299468994,0.0,True,1,4.25
35,-496.45,42.57559299468994,15.661529064178467,False,None,5.6
36,-496.05,42.57559299468994,5.774896144866943,False,None,6.29
37,-488.5,42.57559299468994,5.7959067821502686,False,None,3.27
38,-286.85,33.45613074302673,5.937855005264282,False,None,9.65
39,-415.95,33.45613074302673,14.44314193725586,False,None,4.52
40,-440.3,33.45613074302673,5.801814079284668,False,None,3.37
41,,33.45613074302673,600.0969469547272,False,None,4.65
42,,39.9527742266655,0.0,True,1,4.6
43,-489.15,39.9527742266655,7.588817834854126,False,None,10.6
44,-455.45,39.9527742266655,7.656810998916626,False,None,3.74
45,-480.0,39.9527742266655,9.756284952163696,False,None,4.21
46,,25.884115040302277,0.0,True,0,0.63
47,-261.45,25.884115040302277,6.590649127960205,False,None,8.59
48,-485.05,25.884115040302277,4.7790892124176025,False,None,2.73
49,-500.0,25.884115040302277,5.516674995422363,False,None,2.81
50,-500.0,25.4672132730484,9.836230993270874,False,None,7.48
51,-315.5,25.4672132730484,8.301315784454346,False,None,3.21
52,-316.3,25.4672132730484,3.0273680686950684,False,None,7.92
53,-223.1,25.4672132730484,4.701624155044556,False,None,2.54
54,-220.8,22.86202770471573,5.401199102401733,False,None,9.45
55,-228.35,22.86202770471573,8.650315999984741,False,None,5.55
56,-212.0,22.86202770471573,8.085030794143677,False,None,4.25
57,,22.86202770471573,0.0,True,1,1.31
58,-239.65,26.200681269168854,19.211941242218018,False,None,18.31
59,,26.200681269168854,0.0,True,1,1.32
60,-283.8,26.200681269168854,10.696141004562378,False,None,6.12
61,,26.200681269168854,0.0,True,1,1.33
62,,21.108521282672882,0.0,True,1,10.39
63,-482.9,21.108521282672882,3.800996780395508,False,None,5.21
64,,21.108521282672882,0.0,True,1,2.54
65,-264.65,21.108521282672882,3.66416597366333,False,None,2.31
66,-263.35,23.216946601867676,8.699746131896973,False,None,14.33
67,-295.45,23.216946601867676,9.465283155441284,False,None,4.66
68,-448.15,23.216946601867676,11.811102151870728,False,None,5.12
69,-262.55,23.216946601867676,8.308357954025269,False,None,4.44
70,,29.65375328063965,0.0,True,1,4.33
71,,29.65375328063965,0.0,True,1,3.74
72,-212.15,29.65375328063965,5.132801055908203,False,None,6.74
73,,29.65375328063965,0.0,True,1,1.5
74,-245.25,23.520472526550293,6.881824731826782,False,None,10.11
75,-356.05,23.520472526550293,10.052150249481201,False,None,7.13
76,-500.0,23.520472526550293,9.185912132263184,False,None,4.71
77,-495.2,23.520472526550293,33.561075925827026,False,None,5.54
78,-217.8,25.73511528968811,12.61041522026062,False,None,20.96
79,-500.0,25.73511528968811,10.825654983520508,False,None,5.16
80,-272.2,25.73511528968811,9.835103988647461,False,None,5.58
81,-240.65,25.73511528968811,10.579025983810425,False,None,6.46
82,-355.6,28.47843772172928,7.3784401416778564,False,None,11.42
83,,28.47843772172928,0.0,True,1,1.28
84,-404.9,28.47843772172928,12.760537147521973,False,None,6.18
85,-322.95,28.47843772172928,10.073968172073364,False,None,7.55
86,-487.45,21.80414718389511,15.730797052383423,False,None,12.99
87,-499.95,21.80414718389511,10.411159038543701,False,None,4.98
