sample_order,score,sample_time,evaluate_time,is_duplicate,dedup_level,dedup_time_ms
None,-500.0,None,1.7881810665130615,False,None,1.88
2,-252.9,23.732719480991364,137.39492297172546,False,None,9.35
3,-500.0,23.732719480991364,5.400108098983765,False,None,2.92
4,-500.0,23.732719480991364,3.9784016609191895,False,None,2.55
5,-212.0,23.732719480991364,5.372409105300903,False,None,2.66
6,,25.8514084815979,0.0,True,1,6.8
7,-212.75,25.8514084815979,1.729283094406128,False,None,2.9
8,-229.7,25.8514084815979,2.623737096786499,False,None,3.11
9,,25.8514084815979,0.0,True,0,0.19
10,-405.05,20.44157522916794,6.326493263244629,False,None,8.46
11,-497.95,20.44157522916794,3.8436548709869385,False,None,2.28
12,-384.65,20.44157522916794,4.2037739753723145,False,None,2.41
13,-211.8,20.44157522916794,4.9079718589782715,False,None,3.56
14,-500.0,22.922533750534058,4.710481882095337,False,None,7.14
15,,22.922533750534058,0.0,True,1,1.28
16,-500.0,22.922533750534058,7.525629281997681,False,None,2.79
17,-500.0,22.922533750534058,4.268946170806885,False,None,3.79
18,-500.0,26.765926480293274,5.357067108154297,False,None,7.53
19,,26.765926480293274,0.0,True,1,3.4
20,-478.95,26.765926480293274,7.772320032119751,False,None,3.17
21,-479.6,26.765926480293274,5.85037899017334,False,None,2.89
22,-211.95,30.551917254924774,6.28610897064209,False,None,9.05
23,-210.3,30.551917254924774,5.6635119915008545,False,None,5.15
24,,30.551917254924774,0.0,True,1,1.3
25,,30.551917254924774,0.0,True,1,1.17
26,,25.548946499824524,0.0,True,1,8.14
27,-212.6,25.548946499824524,3.700930118560791,False,None,4.63
28,,25.548946499824524,0.0,True,1,1.33
29,,25.548946499824524,0.0,True,1,2.24
30,,30.45337450504303,0.0,True,1,7.13
31,,30.45337450504303,0.0,True,1,8.28
32,,30.45337450504303,0.0,True,1,5.75
33,,30.45337450504303,0.0,True,1,7.42
34,,27.47556447982788,0.0,True,1,6.73
35,-500.0,27.47556447982788,3.9023680686950684,False,None,5.87
36,,27.47556447982788,0.0,True,1,4.34
37,-500.0,27.47556447982788,5.598591089248657,False,None,2.65
38,-211.25,33.10841077566147,7.484761714935303,False,None,16.79
39,-252.1,33.10841077566147,10.971909761428833,False,None,6.45
40,-266.1,33.10841077566147,5.917236089706421,False,None,5.44
41,-223.4,33.10841077566147,7.075078964233398,False,None,6.29
42,-500.0,30.651000261306763,7.070082187652588,False,None,7.29
43,-500.0,30.651000261306763,5.7944560050964355,False,None,3.48
44,-231.35,30.651000261306763,4.931733846664429,False,None,2.58
45,-349.3,30.651000261306763,3.8342621326446533,False,None,3.53
46,-331.55,31.321395456790924,4.816637992858887,False,None,8.44
47,,31.321395456790924,0.0,True,1,2.56
48,,31.321395456790924,0.0,True,1,3.06
49,,31.321395456790924,0.0,True,0,0.15
50,-343.25,37.7275567650795,14.916798114776611,False,None,21.0
51,-340.9,37.7275567650795,6.355562925338745,False,None,5.68
