sample_order,score,sample_time,evaluate_time
None,-500.0,None,0.13266205787658691
2,-500.0,57.676934003829956,5.813535928726196
3,-500.0,57.676934003829956,9.270071029663086
4,-310.65,57.676934003829956,3.348602056503296
5,-500.0,57.676934003829956,3.2715628147125244
6,-500.0,44.26182246208191,4.261690139770508
7,-276.15,44.26182246208191,5.394059181213379
8,-212.1,44.26182246208191,5.014145135879517
9,-500.0,44.26182246208191,2.307620048522949
10,-380.15,28.39398568868637,3.1247987747192383
11,-500.0,28.39398568868637,3.203705072402954
12,-500.0,28.39398568868637,2.180100917816162
13,-500.0,28.39398568868637,3.3895580768585205
14,-347.8,35.98721927404404,6.140588045120239
15,-359.0,35.98721927404404,3.245690107345581
16,-500.0,35.98721927404404,1.958198070526123
17,-228.15,35.98721927404404,5.33214807510376
18,-214.35,50.15117526054382,6.949981212615967
19,-246.45,50.15117526054382,10.862699031829834
20,-227.15,50.15117526054382,10.040667057037354
21,-229.55,50.15117526054382,7.418456077575684
22,-398.05,42.06921297311783,2.8526792526245117
23,-500.0,42.06921297311783,2.223334789276123
24,-500.0,42.06921297311783,2.4880692958831787
25,-483.9,42.06921297311783,4.449936866760254
26,-400.6,49.810738265514374,8.816132068634033
27,-212.75,49.810738265514374,0.1631608009338379
28,-291.6,49.810738265514374,7.122006893157959
29,-212.75,49.810738265514374,0.11316037178039551
30,-467.05,37.44225472211838,2.3901560306549072
31,-498.8,37.44225472211838,2.8390986919403076
32,-212.75,37.44225472211838,0.11047005653381348
33,-212.75,37.44225472211838,0.1104741096496582
34,-413.5,44.19708353281021,5.796750068664551
35,-212.75,44.19708353281021,0.10964298248291016
36,-212.75,44.19708353281021,0.10975813865661621
37,-240.9,44.19708353281021,5.60125207901001
38,-286.4,47.6109659075737,6.472973108291626
39,-500.0,47.6109659075737,7.239537000656128
40,-500.0,47.6109659075737,6.586713075637817
41,-346.2,47.6109659075737,3.9380109310150146
42,-212.0,47.10598051548004,6.481661081314087
43,-212.1,47.10598051548004,6.1136369705200195
44,-212.95,47.10598051548004,13.302669048309326
45,-298.3,47.10598051548004,8.8754301071167
46,-212.75,28.297914266586304,0.1402430534362793
47,-288.05,28.297914266586304,3.8559298515319824
48,-444.4,28.297914266586304,2.234755039215088
49,-461.75,28.297914266586304,2.993601083755493
50,-212.75,39.509049236774445,0.19696307182312012
51,-212.0,39.509049236774445,0.8279051780700684
52,-212.75,39.509049236774445,0.1090841293334961
53,-212.0,39.509049236774445,2.3175830841064453
