sample_order,score,sample_time,evaluate_time,is_duplicate,dedup_level,dedup_time_ms
None,-500.0,None,1.7366361618041992,False,None,2.25
2,-384.65,26.39968580007553,3.400416135787964,False,None,7.79
3,-500.0,26.39968580007553,5.478058099746704,False,None,3.38
4,-403.3,26.39968580007553,7.873909950256348,False,None,4.43
5,-212.75,26.39968580007553,1.749786138534546,False,None,1.33
6,-297.0,27.94155317544937,2.720466136932373,False,None,6.48
7,-500.0,27.94155317544937,5.107421159744263,False,None,2.47
8,-333.65,27.94155317544937,8.670441150665283,False,None,3.18
9,-371.45,27.94155317544937,6.292474269866943,False,None,7.08
10,,28.437610983848572,0.0,True,1,12.16
11,,28.437610983848572,0.0,True,1,4.15
12,,28.437610983848572,0.0,True,1,4.9
13,-500.0,28.437610983848572,11.273608207702637,False,None,5.05
14,-335.55,27.720222771167755,6.65297794342041,False,None,8.57
15,,27.720222771167755,0.0,True,0,0.17
16,-349.3,27.720222771167755,5.7542760372161865,False,None,2.67
17,-350.3,27.720222771167755,3.872054100036621,False,None,2.44
18,-323.05,23.38678950071335,6.306830167770386,False,None,10.5
19,-211.9,23.38678950071335,11.474629878997803,False,None,2.47
20,-500.0,23.38678950071335,4.420670986175537,False,None,2.69
21,,23.38678950071335,0.0,True,1,2.86
22,-210.95,34.17035907506943,14.359812259674072,False,None,6.61
23,,34.17035907506943,0.0,True,1,1.28
24,-273.7,34.17035907506943,18.961100101470947,False,None,3.05
25,-212.15,34.17035907506943,14.696208238601685,False,None,3.48
26,,29.87261128425598,0.0,True,1,5.46
27,,29.87261128425598,0.0,True,1,3.82
28,,29.87261128425598,0.0,True,1,2.89
29,-214.1,29.87261128425598,3.7539563179016113,False,None,6.73
30,,33.76029670238495,0.0,True,1,7.75
31,-500.0,33.76029670238495,6.375857830047607,False,None,5.14
32,-500.0,33.76029670238495,5.539621114730835,False,None,3.6
33,-317.85,33.76029670238495,5.553273677825928,False,None,2.86
34,-412.05,27.932828962802887,6.073438882827759,False,None,9.46
35,,27.932828962802887,0.0,True,1,2.53
36,,27.932828962802887,0.0,True,0,0.15
37,-500.0,27.932828962802887,4.208708047866821,False,None,4.76
38,-416.55,32.04125875234604,11.249241828918457,False,None,11.73
39,,32.04125875234604,0.0,True,1,1.27
40,,32.04125875234604,0.0,True,1,1.15
41,-400.6,32.04125875234604,5.797683954238892,False,None,3.62
42,,26.64877551794052,0.0,True,1,8.09
43,,26.64877551794052,0.0,True,1,8.46
44,-455.6,26.64877551794052,7.289306879043579,False,None,5.31
45,-478.5,26.64877551794052,17.168683767318726,False,None,6.91
46,,30.11434531211853,0.0,True,1,4.31
47,,30.11434531211853,0.0,True,1,8.19
48,-498.55,30.11434531211853,12.96745491027832,False,None,6.0
49,-500.0,30.11434531211853,11.967457056045532,False,None,6.06
50,-500.0,27.880370497703552,48.1697940826416,False,None,19.52
51,-283.75,27.880370497703552,38.6920440196991,False,None,7.52
52,-214.95,27.880370497703552,34.280513763427734,False,None,7.32
53,-289.9,27.880370497703552,27.75557804107666,False,None,6.06
54,,36.58379501104355,0.0,True,1,3.63
55,-478.75,36.58379501104355,11.29723310470581,False,None,15.87
56,-468.45,36.58379501104355,12.490054845809937,False,None,11.88
57,,36.58379501104355,0.0,True,1,2.75
58,-212.05,26.839214503765106,39.921684980392456,False,None,11.0
59,-212.15,26.839214503765106,32.043962240219116,False,None,8.62
