sample_order,score,sample_time,evaluate_time,is_duplicate,dedup_level,dedup_time_ms
57,,24.139904022216797,0.0,True,1,4.32
58,,26.29048001766205,0.0,True,1,4.17
59,,26.29048001766205,0.0,True,1,8.41
60,-500.0,26.29048001766205,4.117930173873901,False,None,5.61
61,-212.4,26.29048001766205,5.927056312561035,False,None,12.79
62,,26.59733873605728,0.0,True,1,3.48
63,-386.45,26.59733873605728,11.183903932571411,False,None,10.6
64,-213.6,26.59733873605728,8.448689222335815,False,None,12.38
65,-212.3,26.59733873605728,12.768863916397095,False,None,15.62
66,-400.2,33.1783322095871,6.42068886756897,False,None,11.63
67,,33.1783322095871,0.0,True,1,8.5
68,,33.1783322095871,0.0,True,1,3.41
69,-500.0,33.1783322095871,2.9552831649780273,False,None,11.31
70,,29.64445024728775,600.089907169342,False,None,16.95
71,-329.15,29.64445024728775,7.487433910369873,False,None,4.61
72,-373.1,29.64445024728775,13.746831893920898,False,None,22.94
73,-219.9,29.64445024728775,18.500020027160645,False,None,18.56
74,,35.12196743488312,600.0895760059357,False,None,38.71
75,,35.12196743488312,600.129298210144,False,None,36.4
76,-365.5,35.12196743488312,10.201154947280884,False,None,10.42
77,-399.35,35.12196743488312,436.45884013175964,False,None,42.79
78,-247.65,133.38327699899673,40.91046762466431,False,None,56.22
79,-369.2,133.38327699899673,15.38211989402771,False,None,15.96
80,-344.0,133.38327699899673,69.13335299491882,False,None,45.14
81,-238.55,133.38327699899673,31.561604022979736,False,None,35.41
82,,57.22546273469925,600.1031789779663,False,None,24.32
83,-232.65,57.22546273469925,66.34567499160767,False,None,10.46
84,,57.22546273469925,600.1029040813446,False,None,16.65
85,-316.9,57.22546273469925,40.375834703445435,False,None,11.32
86,-210.55,44.90353226661682,37.84459400177002,False,None,23.78
87,-209.15,44.90353226661682,30.861849069595337,False,None,31.03
88,-375.55,44.90353226661682,20.053617000579834,False,None,19.34
89,,44.90353226661682,0.0,True,1,4.01
90,,62.060742259025574,0.0,True,1,4.18
91,-349.8,62.060742259025574,415.202273607254,False,None,51.66
92,,62.060742259025574,4.231349945068359,False,None,15.11
93,,62.060742259025574,600.0947868824005,False,None,64.96
94,-349.95,30.147035539150238,18.43187403678894,False,None,46.72
95,-351.2,30.147035539150238,11.261735916137695,False,None,47.75
96,-290.25,30.147035539150238,25.70309090614319,False,None,47.18
97,-356.25,30.147035539150238,11.860697031021118,False,None,25.77
98,,34.892505288124084,0.0,True,1,4.88
99,,34.892505288124084,0.0,True,1,3.42
100,-335.4,34.892505288124084,559.7365369796753,False,None,54.15
101,,34.892505288124084,1.8883931636810303,False,None,15.12
102,,41.656800746917725,0.0,True,1,4.3
103,-224.7,41.656800746917725,18.161041021347046,False,None,22.78
104,-250.05,41.656800746917725,491.67923879623413,False,None,26.65
105,-293.3,41.656800746917725,240.64099025726318,False,None,56.67
106,,42.544180035591125,600.0991477966309,False,None,82.14
107,,42.544180035591125,0.0,True,1,44.73
108,,42.544180035591125,600.1002388000488,False,None,10.36
109,,42.544180035591125,600.1026020050049,False,None,57.93
110,-287.45,38.95039701461792,14.592025756835938,False,None,22.12
111,,38.95039701461792,0.0,True,1,3.98
112,,38.95039701461792,0.0,True,1,3.33
113,-307.75,38.95039701461792,5.4006757736206055,False,None,11.14
114,-276.75,52.64058268070221,18.853094816207886,False,None,27.21
115,,52.64058268070221,0.0,True,0,0.65
116,-228.75,52.64058268070221,52.198785066604614,False,None,29.87
117,-239.85,52.64058268070221,307.904109954834,False,None,13.91
118,-212.5,56.4749076962471,44.32265114784241,False,None,23.28
119,-328.6,56.4749076962471,25.15164017677307,False,None,26.69
120,-220.95,56.4749076962471,17.726491689682007,False,None,21.39
121,-211.95,56.4749076962471,33.15248203277588,False,None,32.85
122,-278.0,70.47659850120544,34.18227195739746,False,None,23.53
123,-324.4,70.47659850120544,8.167634963989258,False,None,12.96
124,-215.3,70.47659850120544,41.770411014556885,False,None,35.33
125,-211.9,70.47659850120544,41.63190770149231,False,None,56.88
126,,57.163839757442474,600.1054890155792,False,None,38.35
